"state","sector","source","year","bill.btu"
"arizona","Residential","All",1999,295929
"arizona","Residential","All",1998,287415
"arizona","Residential","All",1997,273500
"arizona","Residential","All",1996,263262
"arizona","Residential","All",1995,240875
"arizona","Residential","All",1994,241806
"arizona","Residential","All",1993,225035
"arizona","Residential","All",1992,221813
"arizona","Residential","All",1991,217259
"arizona","Residential","All",1990,215022
"arizona","Residential","All",1989,214634
"arizona","Residential","All",1988,201496
"arizona","Residential","All",1987,192155
"arizona","Residential","All",1986,181807
"arizona","Residential","All",1985,185643
"arizona","Residential","All",1984,170122
"arizona","Residential","All",1983,166110
"arizona","Residential","All",1982,155167
"arizona","Residential","All",1981,150384
"arizona","Residential","All",1980,153746
"arkansas","Residential","All",2015,230251
"arkansas","Residential","All",2014,246736
"arkansas","Residential","All",2013,241273
"arkansas","Residential","All",2012,221682
"arkansas","Residential","All",2011,245938
"arkansas","Residential","All",2010,251966
"arkansas","Residential","All",2009,226779
"arkansas","Residential","All",2008,236587
"arkansas","Residential","All",2007,232469
"arkansas","Residential","All",2006,225258
"arkansas","Residential","All",2005,233765
"arkansas","Residential","All",2004,215398
"arkansas","Residential","All",2003,218432
"arkansas","Residential","All",2002,226018
"arkansas","Residential","All",2001,222169
"arkansas","Residential","All",2000,226031
"arkansas","Residential","All",1999,209470
"arkansas","Residential","All",1998,209300
"arkansas","Residential","All",1997,198295
"arkansas","Residential","All",1996,203145
"arkansas","Residential","All",1995,196987
"arkansas","Residential","All",1994,186266
"arkansas","Residential","All",1993,192009
"arkansas","Residential","All",1992,167385
"arkansas","Residential","All",1991,175999
"arkansas","Residential","All",1990,170792
"arkansas","Residential","All",1989,168524
"arkansas","Residential","All",1988,163826
"arkansas","Residential","All",1987,158429
"arkansas","Residential","All",1986,153550
"arkansas","Residential","All",1985,152866
"arkansas","Residential","All",1984,155728
"arkansas","Residential","All",1983,158896
"arkansas","Residential","All",1982,154176
"arkansas","Residential","All",1981,147556
"arkansas","Residential","All",1980,176114
"california","Residential","All",2015,1357035
"california","Residential","All",2014,1354667
"california","Residential","All",2013,1437547
"california","Residential","All",2012,1436920
"california","Residential","All",2011,1494501
"california","Residential","All",2010,1459194
"california","Residential","All",2009,1483933
"california","Residential","All",2008,1511880
"california","Residential","All",2007,1474352
"california","Residential","All",2006,1503209
"california","Residential","All",2005,1453986
"california","Residential","All",2004,1503714
"california","Residential","All",2003,1470645
"california","Residential","All",2002,1440381
"california","Residential","All",2001,1429314
"california","Residential","All",2000,1435809
"california","Residential","All",1999,1502039
"california","Residential","All",1998,1494064
"california","Residential","All",1997,1361750
"california","Residential","All",1996,1366933
"california","Residential","All",1995,1325982
"california","Residential","All",1994,1369611
"california","Residential","All",1993,1356739
"california","Residential","All",1992,1355471
"california","Residential","All",1991,1372574
"california","Residential","All",1990,1369221
"california","Residential","All",1989,1420770
"california","Residential","All",1988,1359830
"california","Residential","All",1987,1308704
"california","Residential","All",1986,1217706
"california","Residential","All",1985,1304337
"california","Residential","All",1984,1227933
"california","Residential","All",1983,1226290
"california","Residential","All",1982,1232806
"california","Residential","All",1981,1192850
"california","Residential","All",1980,1226342
"colorado","Residential","All",2015,343206
"colorado","Residential","All",2014,352876
"colorado","Residential","All",2013,363735
"colorado","Residential","All",2012,334786
"colorado","Residential","All",2011,352708
"colorado","Residential","All",2010,350466
"colorado","Residential","All",2009,339567
"colorado","Residential","All",2008,347912
"colorado","Residential","All",2007,343345
"colorado","Residential","All",2006,321413
"colorado","Residential","All",2005,323128
"colorado","Residential","All",2004,307898
"colorado","Residential","All",2003,317962
"colorado","Residential","All",2002,317525
"colorado","Residential","All",2001,301870
"colorado","Residential","All",2000,292569
"colorado","Residential","All",1999,275078
"colorado","Residential","All",1998,261234
"colorado","Residential","All",1997,264227
"colorado","Residential","All",1996,261940
"colorado","Residential","All",1995,248507
"colorado","Residential","All",1994,236365
"colorado","Residential","All",1993,242294
"colorado","Residential","All",1992,226906
"colorado","Residential","All",1991,231072
"colorado","Residential","All",1990,214100
"colorado","Residential","All",1989,211443
"colorado","Residential","All",1988,207175
"colorado","Residential","All",1987,196744
"colorado","Residential","All",1986,195806
"colorado","Residential","All",1985,207512
"colorado","Residential","All",1984,207786
"colorado","Residential","All",1983,216886
"colorado","Residential","All",1982,208489
"colorado","Residential","All",1981,189501
"colorado","Residential","All",1980,179957
"connecticut","Residential","All",2015,248991
"connecticut","Residential","All",2014,247908
"connecticut","Residential","All",2013,248159
"connecticut","Residential","All",2012,232633
"connecticut","Residential","All",2011,237503
"connecticut","Residential","All",2010,250283
"connecticut","Residential","All",2009,253223
"connecticut","Residential","All",2008,255147
"connecticut","Residential","All",2007,265623
"connecticut","Residential","All",2006,252819
"connecticut","Residential","All",2005,281933
"connecticut","Residential","All",2004,298704
"connecticut","Residential","All",2003,298634
"connecticut","Residential","All",2002,262110
"connecticut","Residential","All",2001,263501
"connecticut","Residential","All",2000,279322
"connecticut","Residential","All",1999,253569
"connecticut","Residential","All",1998,234399
"connecticut","Residential","All",1997,250474
"connecticut","Residential","All",1996,260044
"connecticut","Residential","All",1995,250177
"connecticut","Residential","All",1994,260371
"connecticut","Residential","All",1993,263346
"connecticut","Residential","All",1992,268731
"connecticut","Residential","All",1991,246760
"connecticut","Residential","All",1990,249087
"connecticut","Residential","All",1989,267651
"connecticut","Residential","All",1988,256562
"connecticut","Residential","All",1987,235421
"connecticut","Residential","All",1986,230117
"connecticut","Residential","All",1985,215109
"connecticut","Residential","All",1984,214131
"connecticut","Residential","All",1983,211725
"connecticut","Residential","All",1982,224052
"connecticut","Residential","All",1981,230316
"connecticut","Residential","All",1980,231789
"delaware","Residential","All",2015,65737
"delaware","Residential","All",2014,66457
"delaware","Residential","All",2013,64961
"delaware","Residential","All",2012,62018
"delaware","Residential","All",2011,67673
"delaware","Residential","All",2010,72198
"delaware","Residential","All",2009,68689
"delaware","Residential","All",2008,68587
"delaware","Residential","All",2007,67882
"delaware","Residential","All",2006,63592
"delaware","Residential","All",2005,71488
"delaware","Residential","All",2004,68036
"delaware","Residential","All",2003,69411
"delaware","Residential","All",2002,68028
"delaware","Residential","All",2001,61701
"delaware","Residential","All",2000,63237
"delaware","Residential","All",1999,59837
"delaware","Residential","All",1998,56111
"delaware","Residential","All",1997,57139
"delaware","Residential","All",1996,58703
"delaware","Residential","All",1995,55694
"delaware","Residential","All",1994,54616
"delaware","Residential","All",1993,54424
"delaware","Residential","All",1992,54482
"delaware","Residential","All",1991,53290
"delaware","Residential","All",1990,50768
"delaware","Residential","All",1989,51649
"delaware","Residential","All",1988,50616
"delaware","Residential","All",1987,47430
"delaware","Residential","All",1986,43199
"delaware","Residential","All",1985,45193
"delaware","Residential","All",1984,45476
"delaware","Residential","All",1983,36945
"delaware","Residential","All",1982,35141
"delaware","Residential","All",1981,34362
"delaware","Residential","All",1980,41663
"florida","Residential","All",2015,1219191
"florida","Residential","All",2014,1176855
"florida","Residential","All",2013,1147578
"florida","Residential","All",2012,1127631
"florida","Residential","All",2011,1189237
"florida","Residential","All",2010,1268894
"florida","Residential","All",2009,1222960
"florida","Residential","All",2008,1217060
"florida","Residential","All",2007,1254917
"florida","Residential","All",2006,1245270
"florida","Residential","All",2005,1242699
"florida","Residential","All",2004,1232125
"florida","Residential","All",2003,1239005
"florida","Residential","All",2002,1219131
"florida","Residential","All",2001,1150939
"florida","Residential","All",2000,1146517
"florida","Residential","All",1999,1096312
"florida","Residential","All",1998,1114067
"florida","Residential","All",1997,1033321
"florida","Residential","All",1996,1047465
"florida","Residential","All",1995,1005208
"florida","Residential","All",1994,943550
"florida","Residential","All",1993,919087
"florida","Residential","All",1992,905844
"florida","Residential","All",1991,902064
"florida","Residential","All",1990,881032
"florida","Residential","All",1989,870061
"florida","Residential","All",1988,780922
"florida","Residential","All",1987,741231
"florida","Residential","All",1986,725906
"florida","Residential","All",1985,702248
"florida","Residential","All",1984,654957
"florida","Residential","All",1983,612441
"florida","Residential","All",1982,604627
"florida","Residential","All",1981,599497
"florida","Residential","All",1980,601546
"georgia","Residential","All",2015,703677
"georgia","Residential","All",2014,741726
"georgia","Residential","All",2013,687232
"georgia","Residential","All",2012,671284
"georgia","Residential","All",2011,745093
"georgia","Residential","All",2010,817490
"georgia","Residential","All",2009,726598
"georgia","Residential","All",2008,738088
"georgia","Residential","All",2007,735829
"georgia","Residential","All",2006,712411
"georgia","Residential","All",2005,712519
"georgia","Residential","All",2004,715225
"georgia","Residential","All",2003,679362
"georgia","Residential","All",2002,658103
"georgia","Residential","All",2001,623214
"georgia","Residential","All",2000,655843
"georgia","Residential","All",1999,586067
"georgia","Residential","All",1998,599807
"georgia","Residential","All",1997,573457
"georgia","Residential","All",1996,593036
"georgia","Residential","All",1995,546635
"georgia","Residential","All",1994,490898
"georgia","Residential","All",1993,515216
"georgia","Residential","All",1992,465483
"georgia","Residential","All",1991,449349
"georgia","Residential","All",1990,435328
"georgia","Residential","All",1989,463825
"georgia","Residential","All",1988,449651
"georgia","Residential","All",1987,434045
"georgia","Residential","All",1986,416466
"georgia","Residential","All",1985,393645
"georgia","Residential","All",1984,390895
"georgia","Residential","All",1983,362592
"georgia","Residential","All",1982,358063
"georgia","Residential","All",1981,354304
"georgia","Residential","All",1980,362474
"hawaii","Residential","All",2015,31824
"hawaii","Residential","All",2014,31351
"hawaii","Residential","All",2013,30904
"hawaii","Residential","All",2012,31548
"hawaii","Residential","All",2011,32439
"hawaii","Residential","All",2010,32613
"hawaii","Residential","All",2009,33308
"hawaii","Residential","All",2008,33423
"hawaii","Residential","All",2007,34099
"hawaii","Residential","All",2006,33679
"hawaii","Residential","All",2005,33335
"hawaii","Residential","All",2004,32638
"hawaii","Residential","All",2003,31774
"hawaii","Residential","All",2002,34518
"hawaii","Residential","All",2001,32162
"hawaii","Residential","All",2000,32983
"hawaii","Residential","All",1999,32371
"hawaii","Residential","All",1998,32331
"hawaii","Residential","All",1997,32135
"hawaii","Residential","All",1996,32045
"hawaii","Residential","All",1995,31255
"hawaii","Residential","All",1994,30504
"hawaii","Residential","All",1993,29587
"hawaii","Residential","All",1992,29657
"hawaii","Residential","All",1991,26114
"hawaii","Residential","All",1990,30724
"hawaii","Residential","All",1989,25380
"hawaii","Residential","All",1988,23018
"hawaii","Residential","All",1987,21962
"hawaii","Residential","All",1986,20449
"hawaii","Residential","All",1985,19928
"hawaii","Residential","All",1984,19733
"hawaii","Residential","All",1983,20092
"hawaii","Residential","All",1982,19600
"hawaii","Residential","All",1981,20936
"hawaii","Residential","All",1980,21020
"idaho","Residential","All",2015,114097
"idaho","Residential","All",2014,119782
"idaho","Residential","All",2013,127172
"idaho","Residential","All",2012,116507
"idaho","Residential","All",2011,124651
"idaho","Residential","All",2010,120096
"idaho","Residential","All",2009,127597
"idaho","Residential","All",2008,135859
"idaho","Residential","All",2007,129050
"idaho","Residential","All",2006,124349
"idaho","Residential","All",2005,118921
"idaho","Residential","All",2004,110230
"idaho","Residential","All",2003,103324
"idaho","Residential","All",2002,106317
"idaho","Residential","All",2001,103595
"idaho","Residential","All",2000,108298
"idaho","Residential","All",1999,102407
"idaho","Residential","All",1998,95559
"idaho","Residential","All",1997,96213
"idaho","Residential","All",1996,94880
"idaho","Residential","All",1995,90063
"idaho","Residential","All",1994,89363
"idaho","Residential","All",1993,91254
"idaho","Residential","All",1992,81517
"idaho","Residential","All",1991,85863
"idaho","Residential","All",1990,79407
"idaho","Residential","All",1989,80449
"idaho","Residential","All",1988,74395
"idaho","Residential","All",1987,70121
"idaho","Residential","All",1986,76201
"idaho","Residential","All",1985,82114
"idaho","Residential","All",1984,80001
"idaho","Residential","All",1983,75765
"idaho","Residential","All",1982,77452
"idaho","Residential","All",1981,73503
"idaho","Residential","All",1980,72347
"illinois","Residential","All",2015,929508
"illinois","Residential","All",2014,1030328
"illinois","Residential","All",2013,1010708
"illinois","Residential","All",2012,913887
"illinois","Residential","All",2011,977236
"illinois","Residential","All",2010,994098
"illinois","Residential","All",2009,975625
"illinois","Residential","All",2008,1028219
"illinois","Residential","All",2007,1002436
"illinois","Residential","All",2006,942363
"illinois","Residential","All",2005,1005380
"illinois","Residential","All",2004,968139
"illinois","Residential","All",2003,991833
"illinois","Residential","All",2002,999687
"illinois","Residential","All",2001,942839
"illinois","Residential","All",2000,967517
"illinois","Residential","All",1999,949914
"illinois","Residential","All",1998,906257
"illinois","Residential","All",1997,971795
"illinois","Residential","All",1996,1019856
"illinois","Residential","All",1995,986350
"illinois","Residential","All",1994,927943
"illinois","Residential","All",1993,947305
"illinois","Residential","All",1992,911088
"illinois","Residential","All",1991,947490
"illinois","Residential","All",1990,883816
"illinois","Residential","All",1989,952638
"illinois","Residential","All",1988,919103
"illinois","Residential","All",1987,835936
"illinois","Residential","All",1986,852982
"illinois","Residential","All",1985,875338
"illinois","Residential","All",1984,911618
"illinois","Residential","All",1983,881511
"illinois","Residential","All",1982,876482
"illinois","Residential","All",1981,872765
"illinois","Residential","All",1980,908259
"indiana","Residential","All",2015,532471
"indiana","Residential","All",2014,582029
"indiana","Residential","All",2013,569348
"indiana","Residential","All",2012,519675
"indiana","Residential","All",2011,555591
"indiana","Residential","All",2010,580125
"indiana","Residential","All",2009,559061
"indiana","Residential","All",2008,591111
"indiana","Residential","All",2007,578349
"indiana","Residential","All",2006,527182
"indiana","Residential","All",2005,570322
"indiana","Residential","All",2004,530309
"indiana","Residential","All",2003,549081
"indiana","Residential","All",2002,535167
"indiana","Residential","All",2001,504059
"indiana","Residential","All",2000,516463
"indiana","Residential","All",1999,511118
"indiana","Residential","All",1998,475300
"indiana","Residential","All",1997,502531
"indiana","Residential","All",1996,522913
"indiana","Residential","All",1995,491929
"indiana","Residential","All",1994,472430
"indiana","Residential","All",1993,483491
"indiana","Residential","All",1992,450951
"indiana","Residential","All",1991,462407
"indiana","Residential","All",1990,434129
"indiana","Residential","All",1989,473135
"indiana","Residential","All",1988,464002
"indiana","Residential","All",1987,430343
"indiana","Residential","All",1986,423839
"indiana","Residential","All",1985,424375
"indiana","Residential","All",1984,435502
"indiana","Residential","All",1983,433682
"indiana","Residential","All",1982,449618
"indiana","Residential","All",1981,441284
"indiana","Residential","All",1980,458041
"iowa","Residential","All",2015,225628
"iowa","Residential","All",2014,253042
"iowa","Residential","All",2013,253460
"iowa","Residential","All",2012,223961
"iowa","Residential","All",2011,245067
"iowa","Residential","All",2010,247868
"iowa","Residential","All",2009,246334
"iowa","Residential","All",2008,255664
"iowa","Residential","All",2007,243599
"iowa","Residential","All",2006,229975
"iowa","Residential","All",2005,238448
"iowa","Residential","All",2004,232796
"iowa","Residential","All",2003,238123
"iowa","Residential","All",2002,237863
"iowa","Residential","All",2001,229664
"iowa","Residential","All",2000,236899
"iowa","Residential","All",1999,233620
"iowa","Residential","All",1998,220354
"iowa","Residential","All",1997,233212
"iowa","Residential","All",1996,240720
"iowa","Residential","All",1995,229712
"iowa","Residential","All",1994,219241
"iowa","Residential","All",1993,224087
"iowa","Residential","All",1992,205701
"iowa","Residential","All",1991,221469
"iowa","Residential","All",1990,204965
"iowa","Residential","All",1989,210212
"iowa","Residential","All",1988,210711
"iowa","Residential","All",1987,189841
"iowa","Residential","All",1986,204004
"iowa","Residential","All",1985,212445
"iowa","Residential","All",1984,224574
"iowa","Residential","All",1983,240300
"iowa","Residential","All",1982,243523
"iowa","Residential","All",1981,227251
"iowa","Residential","All",1980,242399
"kansas","Residential","All",2015,219766
"kansas","Residential","All",2014,239916
"kansas","Residential","All",2013,236077
"kansas","Residential","All",2012,220835
"kansas","Residential","All",2011,244524
"kansas","Residential","All",2010,247255
"kansas","Residential","All",2009,239262
"kansas","Residential","All",2008,242164
"kansas","Residential","All",2007,235103
"kansas","Residential","All",2006,223166
"kansas","Residential","All",2005,233614
"kansas","Residential","All",2004,224146
"kansas","Residential","All",2003,230841
"kansas","Residential","All",2002,231738
"kansas","Residential","All",2001,221725
"kansas","Residential","All",2000,232542
"kansas","Residential","All",1999,220147
"kansas","Residential","All",1998,221578
"kansas","Residential","All",1997,213246
"kansas","Residential","All",1996,225337
"kansas","Residential","All",1995,208864
"kansas","Residential","All",1994,203490
"kansas","Residential","All",1993,212563
"kansas","Residential","All",1992,187689
"kansas","Residential","All",1991,207065
"kansas","Residential","All",1990,196040
"kansas","Residential","All",1989,191385
"kansas","Residential","All",1988,190639
"kansas","Residential","All",1987,181598
"kansas","Residential","All",1986,177255
"kansas","Residential","All",1985,187995
"kansas","Residential","All",1984,186825
"kansas","Residential","All",1983,193619
"kansas","Residential","All",1982,188327
"kansas","Residential","All",1981,175433
"kansas","Residential","All",1980,186312
"kentucky","Residential","All",2015,363335
"kentucky","Residential","All",2014,393616
"kentucky","Residential","All",2013,385162
"kentucky","Residential","All",2012,361017
"kentucky","Residential","All",2011,381082
"kentucky","Residential","All",2010,409925
"kentucky","Residential","All",2009,383387
"kentucky","Residential","All",2008,393647
"kentucky","Residential","All",2007,394030
"kentucky","Residential","All",2006,361395
"kentucky","Residential","All",2005,381002
"kentucky","Residential","All",2004,358518
"kentucky","Residential","All",2003,360140
"kentucky","Residential","All",2002,368818
"kentucky","Residential","All",2001,335431
"kentucky","Residential","All",2000,348148
"kentucky","Residential","All",1999,333486
"kentucky","Residential","All",1998,313372
"kentucky","Residential","All",1997,320446
"kentucky","Residential","All",1996,334897
"kentucky","Residential","All",1995,321330
"kentucky","Residential","All",1994,303936
"kentucky","Residential","All",1993,305974
"kentucky","Residential","All",1992,287592
"kentucky","Residential","All",1991,293888
"kentucky","Residential","All",1990,267667
"kentucky","Residential","All",1989,298212
"kentucky","Residential","All",1988,291088
"kentucky","Residential","All",1987,275410
"kentucky","Residential","All",1986,271460
"kentucky","Residential","All",1985,269103
"kentucky","Residential","All",1984,274250
"kentucky","Residential","All",1983,266342
"kentucky","Residential","All",1982,263991
"kentucky","Residential","All",1981,260461
"kentucky","Residential","All",1980,265995
"louisiana","Residential","All",2015,333862
"louisiana","Residential","All",2014,348310
"louisiana","Residential","All",2013,343192
"louisiana","Residential","All",2012,338272
"louisiana","Residential","All",2011,370307
"louisiana","Residential","All",2010,385245
"louisiana","Residential","All",2009,352878
"louisiana","Residential","All",2008,346799
"louisiana","Residential","All",2007,346309
"louisiana","Residential","All",2006,344127
"louisiana","Residential","All",2005,371327
"louisiana","Residential","All",2004,355187
"louisiana","Residential","All",2003,352283
"louisiana","Residential","All",2002,376571
"louisiana","Residential","All",2001,356058
"louisiana","Residential","All",2000,389597
"louisiana","Residential","All",1999,362710
"louisiana","Residential","All",1998,374149
"louisiana","Residential","All",1997,351553
"louisiana","Residential","All",1996,354297
"louisiana","Residential","All",1995,347314
"louisiana","Residential","All",1994,328582
"louisiana","Residential","All",1993,330840
"louisiana","Residential","All",1992,312620
"louisiana","Residential","All",1991,316182
"louisiana","Residential","All",1990,317118
"louisiana","Residential","All",1989,303153
"louisiana","Residential","All",1988,294177
"louisiana","Residential","All",1987,293764
"louisiana","Residential","All",1986,294437
"louisiana","Residential","All",1985,299593
"louisiana","Residential","All",1984,298061
"louisiana","Residential","All",1983,277459
"louisiana","Residential","All",1982,289104
"louisiana","Residential","All",1981,292667
"louisiana","Residential","All",1980,278531
"maine","Residential","All",2015,94989
"maine","Residential","All",2014,91327
"maine","Residential","All",2013,85358
"maine","Residential","All",2012,80907
"maine","Residential","All",2011,85627
"maine","Residential","All",2010,85850
"maine","Residential","All",2009,90454
"maine","Residential","All",2008,88145
"maine","Residential","All",2007,97226
"maine","Residential","All",2006,100139
"maine","Residential","All",2005,107844
"maine","Residential","All",2004,111670
"maine","Residential","All",2003,105512
"maine","Residential","All",2002,84402
"maine","Residential","All",2001,91567
"maine","Residential","All",2000,91841
"maine","Residential","All",1999,91746
"maine","Residential","All",1998,94527
"maine","Residential","All",1997,92405
"maine","Residential","All",1996,94783
"maine","Residential","All",1995,90670
"maine","Residential","All",1994,85168
"maine","Residential","All",1993,91150
"maine","Residential","All",1992,88297
"maine","Residential","All",1991,84621
"maine","Residential","All",1990,86086
"maine","Residential","All",1989,94286
"maine","Residential","All",1988,94624
"maine","Residential","All",1987,87840
"maine","Residential","All",1986,88252
"maine","Residential","All",1985,83636
"maine","Residential","All",1984,72818
"maine","Residential","All",1983,68696
"maine","Residential","All",1982,76497
"maine","Residential","All",1981,76566
"maine","Residential","All",1980,85325
"maryland","Residential","All",2015,427201
"maryland","Residential","All",2014,439544
"maryland","Residential","All",2013,429965
"maryland","Residential","All",2012,399441
"maryland","Residential","All",2011,417329
"maryland","Residential","All",2010,449076
"maryland","Residential","All",2009,425617
"maryland","Residential","All",2008,424576
"maryland","Residential","All",2007,435421
"maryland","Residential","All",2006,408350
"maryland","Residential","All",2005,447374
"maryland","Residential","All",2004,442803
"maryland","Residential","All",2003,430890
"maryland","Residential","All",2002,408070
"maryland","Residential","All",2001,385175
"maryland","Residential","All",2000,402712
"maryland","Residential","All",1999,382617
"maryland","Residential","All",1998,364215
"maryland","Residential","All",1997,371487
"maryland","Residential","All",1996,402274
"maryland","Residential","All",1995,376672
"maryland","Residential","All",1994,374512
"maryland","Residential","All",1993,377107
"maryland","Residential","All",1992,347177
"maryland","Residential","All",1991,347473
"maryland","Residential","All",1990,332776
"maryland","Residential","All",1989,349017
"maryland","Residential","All",1988,344800
"maryland","Residential","All",1987,322681
"maryland","Residential","All",1986,306214
"maryland","Residential","All",1985,293459
"maryland","Residential","All",1984,301905
"maryland","Residential","All",1983,276264
"maryland","Residential","All",1982,274436
"maryland","Residential","All",1981,270471
"maryland","Residential","All",1980,284223
"massachusetts","Residential","All",2015,434042
"massachusetts","Residential","All",2014,438105
"massachusetts","Residential","All",2013,422388
"massachusetts","Residential","All",2012,404606
"massachusetts","Residential","All",2011,423283
"massachusetts","Residential","All",2010,434765
"massachusetts","Residential","All",2009,424521
"massachusetts","Residential","All",2008,431602
"massachusetts","Residential","All",2007,424366
"massachusetts","Residential","All",2006,405337
"massachusetts","Residential","All",2005,445472
"massachusetts","Residential","All",2004,454862
"massachusetts","Residential","All",2003,474887
"massachusetts","Residential","All",2002,465017
"massachusetts","Residential","All",2001,457295
"massachusetts","Residential","All",2000,455220
"massachusetts","Residential","All",1999,436699
"massachusetts","Residential","All",1998,402279
"massachusetts","Residential","All",1997,414710
"massachusetts","Residential","All",1996,429269
"massachusetts","Residential","All",1995,428251
"massachusetts","Residential","All",1994,453028
"massachusetts","Residential","All",1993,455635
"massachusetts","Residential","All",1992,449330
"massachusetts","Residential","All",1991,410748
"massachusetts","Residential","All",1990,429064
"massachusetts","Residential","All",1989,454114
"massachusetts","Residential","All",1988,431853
"massachusetts","Residential","All",1987,416365
"massachusetts","Residential","All",1986,407970
"massachusetts","Residential","All",1985,396910
"massachusetts","Residential","All",1984,394780
"massachusetts","Residential","All",1983,379755
"massachusetts","Residential","All",1982,374279
"massachusetts","Residential","All",1981,371037
"massachusetts","Residential","All",1980,400966
"michigan","Residential","All",2015,719190
"michigan","Residential","All",2014,786643
"michigan","Residential","All",2013,772684
"michigan","Residential","All",2012,701371
"michigan","Residential","All",2011,760160
"michigan","Residential","All",2010,747850
"michigan","Residential","All",2009,755367
"michigan","Residential","All",2008,807768
"michigan","Residential","All",2007,813523
"michigan","Residential","All",2006,785092
"michigan","Residential","All",2005,874072
"michigan","Residential","All",2004,829390
"michigan","Residential","All",2003,867322
"michigan","Residential","All",2002,854808
"michigan","Residential","All",2001,807502
"michigan","Residential","All",2000,800564
"michigan","Residential","All",1999,778335
"michigan","Residential","All",1998,733888
"michigan","Residential","All",1997,782942
"michigan","Residential","All",1996,808858
"michigan","Residential","All",1995,768390
"michigan","Residential","All",1994,730821
"michigan","Residential","All",1993,747917
"michigan","Residential","All",1992,739496
"michigan","Residential","All",1991,729332
"michigan","Residential","All",1990,727095
"michigan","Residential","All",1989,775428
"michigan","Residential","All",1988,749639
"michigan","Residential","All",1987,690229
"michigan","Residential","All",1986,696522
"michigan","Residential","All",1985,699850
"michigan","Residential","All",1984,694728
"michigan","Residential","All",1983,700761
"michigan","Residential","All",1982,711863
"michigan","Residential","All",1981,719736
"michigan","Residential","All",1980,765148
"minnesota","Residential","All",2015,373411
"minnesota","Residential","All",2014,430645
"minnesota","Residential","All",2013,417038
"minnesota","Residential","All",2012,375334
"minnesota","Residential","All",2011,396406
"minnesota","Residential","All",2010,397490
"minnesota","Residential","All",2009,407119
"minnesota","Residential","All",2008,420500
"minnesota","Residential","All",2007,413777
"minnesota","Residential","All",2006,388024
"minnesota","Residential","All",2005,404161
"minnesota","Residential","All",2004,409721
"minnesota","Residential","All",2003,427230
"minnesota","Residential","All",2002,398211
"minnesota","Residential","All",2001,369754
"minnesota","Residential","All",2000,368566
"minnesota","Residential","All",1999,353229
"minnesota","Residential","All",1998,330991
