"year","area","code","currency","gdp"
1963,"Plains","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Rhode Island","GDP_SAS-1","millions of current dollars",2686
1963,"Rhode Island","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Rhode Island","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Rocky Mountain","GDP_SAS-1","millions of current dollars",14090
1963,"Rocky Mountain","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Rocky Mountain","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"South Carolina","GDP_SAS-1","millions of current dollars",5057
1963,"South Carolina","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"South Carolina","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"South Dakota","GDP_SAS-1","millions of current dollars",1610
1963,"South Dakota","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"South Dakota","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Southeast","GDP_SAS-1","millions of current dollars",101625
1963,"Southeast","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Southeast","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Southwest","GDP_SAS-1","millions of current dollars",42915
1963,"Southwest","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Southwest","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Tennessee","GDP_SAS-1","millions of current dollars",9055
1963,"Tennessee","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Tennessee","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Texas","GDP_SAS-1","millions of current dollars",29252
1963,"Texas","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Texas","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"United States","GDP_SAS-1","millions of current dollars",607008
1963,"United States","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"United States","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Utah","GDP_SAS-1","millions of current dollars",2998
1963,"Utah","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Utah","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Vermont","GDP_SAS-1","millions of current dollars",993
1963,"Vermont","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Vermont","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Virginia","GDP_SAS-1","millions of current dollars",11682
1963,"Virginia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Virginia","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Washington","GDP_SAS-1","millions of current dollars",11171
1963,"Washington","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Washington","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"West Virginia","GDP_SAS-1","millions of current dollars",4617
1963,"West Virginia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"West Virginia","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Wisconsin","GDP_SAS-1","millions of current dollars",12742
1963,"Wisconsin","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Wisconsin","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Wyoming","GDP_SAS-1","millions of current dollars",1353
1963,"Wyoming","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Wyoming","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Alabama","GDP_SAS-1","millions of current dollars",8220
1964,"Alabama","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Alabama","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Alaska","GDP_SAS-1","millions of current dollars",1230
1964,"Alaska","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Alaska","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Arizona","GDP_SAS-1","millions of current dollars",4817
1964,"Arizona","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Arizona","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Arkansas","GDP_SAS-1","millions of current dollars",4148
1964,"Arkansas","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Arkansas","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"California","GDP_SAS-1","millions of current dollars",73513
1964,"California","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"California","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Colorado","GDP_SAS-1","millions of current dollars",6228
1964,"Colorado","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Colorado","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Connecticut","GDP_SAS-1","millions of current dollars",10551
1964,"Connecticut","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Connecticut","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Delaware","GDP_SAS-1","millions of current dollars",2068
1964,"Delaware","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Delaware","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"District of Columbia","GDP_SAS-1","millions of current dollars",5553
1964,"District of Columbia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"District of Columbia","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Far West","GDP_SAS-1","millions of current dollars",96803
1964,"Far West","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Far West","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Florida","GDP_SAS-1","millions of current dollars",16025
1964,"Florida","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Florida","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Georgia","GDP_SAS-1","millions of current dollars",11253
1964,"Georgia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Georgia","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Great Lakes","GDP_SAS-1","millions of current dollars",141147
1964,"Great Lakes","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Great Lakes","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Hawaii","GDP_SAS-1","millions of current dollars",2571
1964,"Hawaii","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Hawaii","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Idaho","GDP_SAS-1","millions of current dollars",1946
1964,"Idaho","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Idaho","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Illinois","GDP_SAS-1","millions of current dollars",42478
1964,"Illinois","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Illinois","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Indiana","GDP_SAS-1","millions of current dollars",16723
1964,"Indiana","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Indiana","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Iowa","GDP_SAS-1","millions of current dollars",8350
1964,"Iowa","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Iowa","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Kansas","GDP_SAS-1","millions of current dollars",6418
1964,"Kansas","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Kansas","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Kentucky","GDP_SAS-1","millions of current dollars",8774
1964,"Kentucky","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Kentucky","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Louisiana","GDP_SAS-1","millions of current dollars",10468
1964,"Louisiana","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Louisiana","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Maine","GDP_SAS-1","millions of current dollars",2604
1964,"Maine","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Maine","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Maryland","GDP_SAS-1","millions of current dollars",11171
1964,"Maryland","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Maryland","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Massachusetts","GDP_SAS-1","millions of current dollars",18625
1964,"Massachusetts","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Massachusetts","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Michigan","GDP_SAS-1","millions of current dollars",32575
1964,"Michigan","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Michigan","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Mideast","GDP_SAS-1","millions of current dollars",156483
1964,"Mideast","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Mideast","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Minnesota","GDP_SAS-1","millions of current dollars",11353
1964,"Minnesota","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Minnesota","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Mississippi","GDP_SAS-1","millions of current dollars",4524
1964,"Mississippi","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Mississippi","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Missouri","GDP_SAS-1","millions of current dollars",14454
1964,"Missouri","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Missouri","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Montana","GDP_SAS-1","millions of current dollars",2024
1964,"Montana","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Montana","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Nebraska","GDP_SAS-1","millions of current dollars",4400
1964,"Nebraska","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Nebraska","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Nevada","GDP_SAS-1","millions of current dollars",1933
1964,"Nevada","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Nevada","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"New England","GDP_SAS-1","millions of current dollars",37563
1964,"New England","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"New England","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"New Hampshire","GDP_SAS-1","millions of current dollars",1812
1964,"New Hampshire","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"New Hampshire","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"New Jersey","GDP_SAS-1","millions of current dollars",24774
1964,"New Jersey","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"New Jersey","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"New Mexico","GDP_SAS-1","millions of current dollars",3156
1964,"New Mexico","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"New Mexico","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"New York","GDP_SAS-1","millions of current dollars",75542
1964,"New York","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"New York","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"North Carolina","GDP_SAS-1","millions of current dollars",13482
1964,"North Carolina","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"North Carolina","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"North Dakota","GDP_SAS-1","millions of current dollars",1591
1964,"North Dakota","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"North Dakota","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Ohio","GDP_SAS-1","millions of current dollars",35652
1964,"Ohio","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Ohio","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Oklahoma","GDP_SAS-1","millions of current dollars",6544
1964,"Oklahoma","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Oklahoma","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Oregon","GDP_SAS-1","millions of current dollars",6164
1964,"Oregon","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Oregon","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Pennsylvania","GDP_SAS-1","millions of current dollars",37375
1964,"Pennsylvania","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Pennsylvania","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Plains","GDP_SAS-1","millions of current dollars",48163
1964,"Plains","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Plains","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Rhode Island","GDP_SAS-1","millions of current dollars",2881
1964,"Rhode Island","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Rhode Island","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Rocky Mountain","GDP_SAS-1","millions of current dollars",14682
1964,"Rocky Mountain","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Rocky Mountain","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"South Carolina","GDP_SAS-1","millions of current dollars",5544
1964,"South Carolina","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"South Carolina","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"South Dakota","GDP_SAS-1","millions of current dollars",1597
1964,"South Dakota","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"South Dakota","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Southeast","GDP_SAS-1","millions of current dollars",109799
1964,"Southeast","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Southeast","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Southwest","GDP_SAS-1","millions of current dollars",45873
1964,"Southwest","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Southwest","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Tennessee","GDP_SAS-1","millions of current dollars",9758
1964,"Tennessee","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Tennessee","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Texas","GDP_SAS-1","millions of current dollars",31356
1964,"Texas","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Texas","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"United States","GDP_SAS-1","millions of current dollars",650513
1964,"United States","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"United States","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Utah","GDP_SAS-1","millions of current dollars",3078
1964,"Utah","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Utah","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Vermont","GDP_SAS-1","millions of current dollars",1090
1964,"Vermont","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Vermont","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Virginia","GDP_SAS-1","millions of current dollars",12713
1964,"Virginia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Virginia","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Washington","GDP_SAS-1","millions of current dollars",11392
1964,"Washington","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Washington","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"West Virginia","GDP_SAS-1","millions of current dollars",4892
1964,"West Virginia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"West Virginia","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Wisconsin","GDP_SAS-1","millions of current dollars",13719
1964,"Wisconsin","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Wisconsin","PCRGDP_SAS-1","chained 1997 dollars",NA
1964,"Wyoming","GDP_SAS-1","millions of current dollars",1405
1964,"Wyoming","RGDP_SAS-1","millions of chained 1997 dollars",NA
1964,"Wyoming","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Alabama","GDP_SAS-1","millions of current dollars",8994
1965,"Alabama","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Alabama","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Alaska","GDP_SAS-1","millions of current dollars",1374
1965,"Alaska","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Alaska","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Arizona","GDP_SAS-1","millions of current dollars",5028
1965,"Arizona","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Arizona","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Arkansas","GDP_SAS-1","millions of current dollars",4446
1965,"Arkansas","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Arkansas","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"California","GDP_SAS-1","millions of current dollars",78253
1965,"California","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"California","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Colorado","GDP_SAS-1","millions of current dollars",6631
1965,"Colorado","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Colorado","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Connecticut","GDP_SAS-1","millions of current dollars",11456
1965,"Connecticut","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Connecticut","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Delaware","GDP_SAS-1","millions of current dollars",2313
1965,"Delaware","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Delaware","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"District of Columbia","GDP_SAS-1","millions of current dollars",6037
1965,"District of Columbia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"District of Columbia","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Far West","GDP_SAS-1","millions of current dollars",103562
1965,"Far West","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Far West","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Florida","GDP_SAS-1","millions of current dollars",17445
1965,"Florida","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Florida","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Georgia","GDP_SAS-1","millions of current dollars",12519
1965,"Georgia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Georgia","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Great Lakes","GDP_SAS-1","millions of current dollars",155351
1965,"Great Lakes","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Great Lakes","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Hawaii","GDP_SAS-1","millions of current dollars",2849
1965,"Hawaii","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Hawaii","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Idaho","GDP_SAS-1","millions of current dollars",2197
1965,"Idaho","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Idaho","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Illinois","GDP_SAS-1","millions of current dollars",45978
1965,"Illinois","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Illinois","PCRGDP_SAS-1","chained 1997 dollars",NA
1965,"Indiana","GDP_SAS-1","millions of current dollars",18518
1965,"Indiana","RGDP_SAS-1","millions of chained 1997 dollars",NA
1965,"Indiana","PCRGDP_SAS-1","chained 1997 dollars",NA
